ID,Activity,Category,Created At,Data Revision,Metadata,Productivity,Refer Date,Seconds,Source Group,Source Name,Source Type,Technical ID,Time End,Time Offset,Time Start,Updated At
32394649,Google Chrome,Browsers,2019-08-03T03:48:43.138+03:00,1,{},0,03-08-19,4,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-02T18:00:00-Browsers,2019-08-02T21:00:00.000+03:00,0,2019-08-02T21:00:00.000+03:00,2019-08-03T03:48:43.138+03:00
32394629,apps.apple.com,Engineering & Technology,2019-08-03T03:48:43.012+03:00,1,{},1,03-08-19,27,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-02T18:00:00-Engineering & Technology,2019-08-02T21:00:00.000+03:00,0,2019-08-02T21:00:00.000+03:00,2019-08-03T03:48:43.012+03:00
32394621,metabase.welltory.com,Health & Medicine,2019-08-03T03:48:42.931+03:00,1,{},1,03-08-19,92,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-02T18:00:00-Health & Medicine,2019-08-02T21:00:00.000+03:00,0,2019-08-02T21:00:00.000+03:00,2019-08-03T03:48:42.931+03:00
32394607,business.facebook.com,Marketing,2019-08-03T03:48:42.849+03:00,1,{},2,03-08-19,352,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-02T18:00:00-Marketing,2019-08-02T21:00:00.000+03:00,0,2019-08-02T21:00:00.000+03:00,2019-08-03T03:48:42.849+03:00
32394634,telegram,Instant Message,2019-08-03T03:48:43.047+03:00,1,{},0,03-08-19,353,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-02T18:00:00-Instant Message,2019-08-02T21:00:00.000+03:00,0,2019-08-02T21:00:00.000+03:00,2019-08-03T03:48:43.047+03:00
32394611,babylonhealth.com,Uncategorized,2019-08-03T03:48:42.885+03:00,1,{},0,03-08-19,424,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-02T18:00:00-Uncategorized,2019-08-02T21:00:00.000+03:00,0,2019-08-02T21:00:00.000+03:00,2019-08-03T03:48:42.885+03:00
32394597,Slack,Instant Message,2019-08-03T03:48:42.802+03:00,1,{},0,03-08-19,537,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-02T18:00:00-Instant Message,2019-08-02T21:00:00.000+03:00,0,2019-08-02T21:00:00.000+03:00,2019-08-03T03:48:42.802+03:00
32453591,system idle process,Other,2019-08-04T03:47:35.156+03:00,1,{},0,04-08-19,5,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-03T20:00:00-Other,2019-08-03T23:00:00.000+03:00,0,2019-08-03T23:00:00.000+03:00,2019-08-04T03:47:35.156+03:00
32453589,Slack,Instant Message,2019-08-04T03:47:35.129+03:00,1,{},0,04-08-19,20,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-03T20:00:00-Instant Message,2019-08-03T23:00:00.000+03:00,0,2019-08-03T23:00:00.000+03:00,2019-08-04T03:47:35.129+03:00
32453587,facebook.com,General Social Networking,2019-08-04T03:47:35.102+03:00,1,{},0,04-08-19,180,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-03T20:00:00-General Social Networking,2019-08-03T23:00:00.000+03:00,0,2019-08-03T23:00:00.000+03:00,2019-08-04T03:47:35.102+03:00
32453585,nomatic.com,Uncategorized,2019-08-04T03:47:35.068+03:00,1,{},0,04-08-19,382,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-03T20:00:00-Uncategorized,2019-08-03T23:00:00.000+03:00,0,2019-08-03T23:00:00.000+03:00,2019-08-04T03:47:35.068+03:00
32453582,telegram,Instant Message,2019-08-04T03:47:35.036+03:00,1,{},0,04-08-19,486,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-03T20:00:00-Instant Message,2019-08-03T23:00:00.000+03:00,0,2019-08-03T23:00:00.000+03:00,2019-08-04T03:47:35.036+03:00
32453579,snippingtool,Presentation,2019-08-04T03:47:34.980+03:00,1,{},2,04-08-19,3,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-03T19:00:00-Presentation,2019-08-03T22:00:00.000+03:00,0,2019-08-03T22:00:00.000+03:00,2019-08-04T03:47:34.980+03:00
32453576,business.facebook.com,Marketing,2019-08-04T03:47:34.954+03:00,1,{},2,04-08-19,4,RescueTime,RescueTime,api,3fc287b0fd82918951948c92fe0d2ea7ab866e731362acdba0bb3c1c12aaae16-2019-08-03T19:00:00-Marketing,2019-08-03T22:00:00.000+03:00,0,2019-08-03T22:00:00.000+03:00,2019-08-04T03:47:34.954+03:00
