ID,All Distracting Duration Formatted,All Distracting Hours,All Distracting Percentage,All Productive Duration Formatted,All Productive Hours,All Productive Percentage,Business Duration Formatted,Business Hours,Business Percentage,Communication And Scheduling Duration Formatted,Communication And Scheduling Hours,Communication And Scheduling Percentage,Created At,Day User,Design And Composition Duration Formatted,Design And Composition Hours,Design And Composition Percentage,Distracting Duration Formatted,Distracting Hours,Distracting Percentage,Entertainment Duration Formatted,Entertainment Hours,Entertainment Percentage,Neutral Duration Formatted,Neutral Hours,Neutral Percentage,News Duration Formatted,News Hours,News Percentage,Productive Duration Formatted,Productive Hours,Productive Percentage,Refer Date,Reference And Learning Duration Formatted,Reference And Learning Hours,Reference And Learning Percentage,Shopping Duration Formatted,Shopping Hours,Shopping Percentage,Social Networking Duration Formatted,Social Networking Hours,Social Networking Percentage,Software Development Duration Formatted,Software Development Hours,Software Development Percentage,Time End,Time Start,Total Duration Formatted,Total Hours,Uncategorized Duration Formatted,Uncategorized Hours,Uncategorized Percentage,Utilities Duration Formatted,Utilities Hours,Utilities Percentage,Very Distracting Duration Formatted,Very Distracting Hours,Very Distracting Percentage,Very Productive Duration Formatted,Very Productive Hours,Very Productive Percentage
431989,9s,0,0,4m 36s,0.08,1.1,1m 5s,0.02,0.2,3h 24m,3.41,47.1,2019-08-14T20:47:07.647+03:00,,58s,0.02,0.2,no time,0,0,no time,0,0,7h 10m,7.17,98.9,9s,0,0,2m 17s,0.04,0.5,14-08-19,24s,0.01,0.1,no time,0,0,no time,0,0,no time,0,0,2019-08-14T23:59:59.000+03:00,2019-08-14T00:00:00.000+03:00,7h 14m,7.25,no time,0,0,3h 47m,3.79,52.3,9s,0,0,2m 19s,0.04,0.5
431437,32s,0.01,0.1,44m 18s,0.74,9.6,5m 36s,0.09,1.2,3h 4m,3.08,40,2019-08-13T20:48:45.494+03:00,,19m 15s,0.32,4.2,no time,0,0,no time,0,0,6h 56m,6.94,90.3,8s,0,0,13m 37s,0.23,3,13-08-19,12m,0.2,2.6,no time,0,0,24s,0.01,0.1,3m 17s,0.05,0.7,2019-08-13T23:59:59.000+03:00,2019-08-13T00:00:00.000+03:00,7h 40m,7.68,5m 20s,0.09,1.2,3h 50m,3.84,50,32s,0.01,0.1,30m 41s,0.51,6.7
430696,36s,0.01,0.2,49m 16s,0.82,12.5,2m 9s,0.04,0.5,2h 36m,2.6,39.7,2019-08-12T20:47:22.364+03:00,,19m 24s,0.32,4.9,no time,0,0,36s,0.01,0.2,5h 43m,5.73,87.3,7s,0,0,26m 23s,0.44,6.7,12-08-19,25m 16s,0.42,6.4,no time,0,0,2m 1s,0.03,0.5,1m 9s,0.02,0.3,2019-08-12T23:59:59.000+03:00,2019-08-12T00:00:00.000+03:00,6h 33m,6.56,2m 10s,0.04,0.6,3h 4m,3.08,46.9,36s,0.01,0.2,22m 53s,0.38,5.8
430076,27m 17s,0.45,13.1,1h,1.01,29.3,6m 25s,0.11,3.1,38m 19s,0.64,18.4,2019-08-11T20:47:56.916+03:00,,21m 47s,0.36,10.5,4m 59s,0.08,2.4,15m 18s,0.26,7.4,1h 59m,1.99,57.6,12m 20s,0.21,5.9,30m 27s,0.51,14.7,11-08-19,35m 45s,0.6,17.2,no time,0,0,1h 9m,1.16,33.6,no time,0,0,2019-08-11T23:59:59.000+03:00,2019-08-11T00:00:00.000+03:00,3h 27m,3.46,4m 59s,0.08,2.4,3m 3s,0.05,1.5,22m 18s,0.37,10.7,30m 23s,0.51,14.6
429425,39m 2s,0.65,36.7,43m 44s,0.73,41.1,19m 33s,0.33,18.4,21m 18s,0.36,20,2019-08-10T20:47:14.110+03:00,,8m 24s,0.14,7.9,3m 54s,0.07,3.7,26m 47s,0.45,25.2,23m 35s,0.39,22.2,12m 12s,0.2,11.5,15m 55s,0.27,15,10-08-19,15m 56s,0.27,15,no time,0,0,no time,0,0,no time,0,0,2019-08-10T23:59:59.000+03:00,2019-08-10T00:00:00.000+03:00,1h 46m,1.77,28s,0.01,0.4,1m 43s,0.03,1.6,35m 8s,0.59,33,27m 49s,0.46,26.2
428734,1m 14s,0.02,0.3,10m 18s,0.17,2.2,2m 3s,0.03,0.4,4h 10m,4.18,53.3,2019-08-09T20:47:09.092+03:00,,4m 23s,0.07,0.9,37s,0.01,0.1,1s,0,0,7h 38m,7.64,97.5,36s,0.01,0.1,3m 7s,0.05,0.7,09-08-19,1m 13s,0.02,0.3,no time,0,0,6s,0,0,45s,0.01,0.2,2019-08-09T23:59:59.000+03:00,2019-08-09T00:00:00.000+03:00,7h 49m,7.83,no time,0,0,3h 30m,3.5,44.7,37s,0.01,0.1,7m 11s,0.12,1.5
428030,24m 46s,0.41,4.9,32m 53s,0.55,6.5,3m 20s,0.06,0.7,5h 26m,5.44,64.3,2019-08-08T20:47:06.183+03:00,,15m 24s,0.26,3,no time,0,0,12m 51s,0.21,2.5,7h 29m,7.5,88.6,11m 55s,0.2,2.3,7m 45s,0.13,1.5,08-08-19,3m 17s,0.05,0.6,no time,0,0,42s,0.01,0.1,6m 32s,0.11,1.3,2019-08-08T23:59:59.000+03:00,2019-08-08T00:00:00.000+03:00,8h 27m,8.46,18m 19s,0.31,3.6,1h 48m,1.81,21.5,24m 46s,0.41,4.9,25m 8s,0.42,5
427261,no time,0,0,20m 11s,0.34,4.3,11m 23s,0.19,2.4,3h 27m,3.47,44.5,2019-08-07T20:47:17.135+03:00,,4m 25s,0.07,0.9,no time,0,0,no time,0,0,7h 27m,7.46,95.7,no time,0,0,2m 57s,0.05,0.6,07-08-19,52s,0.01,0.2,no time,0,0,no time,0,0,1m 26s,0.02,0.3,2019-08-07T23:59:59.000+03:00,2019-08-07T00:00:00.000+03:00,7h 47m,7.79,1m 51s,0.03,0.4,3h 59m,3.99,51.3,no time,0,0,17m 14s,0.29,3.7
426492,14m 13s,0.24,3.5,1h 33m,1.56,22.9,25m 19s,0.42,6.2,4h 36m,4.61,67.8,2019-08-06T20:47:34.973+03:00,,15m 5s,0.25,3.7,2m 2s,0.03,0.5,2m 36s,0.04,0.6,5h,5.01,73.6,9m 14s,0.15,2.3,50m 20s,0.84,12.3,06-08-19,12m 20s,0.21,3,no time,0,0,9m 42s,0.16,2.4,2m 55s,0.05,0.7,2019-08-06T23:59:59.000+03:00,2019-08-06T00:00:00.000+03:00,6h 48m,6.8,57s,0.02,0.2,53m 11s,0.89,13,12m 11s,0.2,3,43m 19s,0.72,10.6
425747,19m 13s,0.32,3.6,3h 52m,3.87,43.4,1h 40m,1.67,18.7,4h 18m,4.31,48.3,2019-08-05T20:47:30.164+03:00,,1h 14m,1.25,14,30s,0.01,0.1,1m 37s,0.03,0.3,4h 43m,4.73,53,17m 5s,0.28,3.2,55m 7s,0.92,10.3,05-08-19,24m 24s,0.41,4.6,no time,0,0,25m 25s,0.42,4.7,14s,0,0,2019-08-05T23:59:59.000+03:00,2019-08-05T00:00:00.000+03:00,8h 55m,8.92,11m 9s,0.19,2.1,21m 59s,0.37,4.1,18m 43s,0.31,3.5,2h 57m,2.95,33.1
423721,9m 17s,0.15,2.1,2h 23m,2.39,32.9,54m 6s,0.9,12.4,4h 3m,4.06,56,2019-08-02T20:47:34.826+03:00,,1h 3m,1.06,14.6,6s,0,0,22s,0.01,0.1,4h 42m,4.71,64.9,4m 31s,0.08,1,18m 38s,0.31,4.3,02-08-19,22m 43s,0.38,5.2,2m 40s,0.04,0.6,17m 27s,0.29,4,7m 23s,0.12,1.7,2019-08-02T23:59:59.000+03:00,2019-08-02T00:00:00.000+03:00,7h 15m,7.25,13m 1s,0.22,3,5m 39s,0.09,1.3,9m 11s,0.15,2.1,2h 4m,2.08,28.6
